Order ID,Order Date,Customer ID,Customer Name,Product ID,Product Name,Category,Sub-Category,Quantity,Unit Price,Discount,Sales,Cost,Profit,Region,City,Payment Method,Customer Type,Profit Margin,Year,Month,Month Name,Year-Month
O018862,2024-04-17,C00001,Customer 1,P051,Smartwatches 3,Smart Gadgets,Smartwatches,1,759.0,0.1492,645.73,462.71,183.02,East,Guwahati,Credit Card,New,0.28343115543648273,2024,4,Apr,2024-04
O022775,2024-08-16,C00001,Customer 1,P046,Storage 2,Computer Accessories,Storage,1,2452.0,0.1072,2189.14,1603.03,586.1,South,Bengaluru,Credit Card,Returning,0.2677307070356396,2024,8,Aug,2024-08
O044217,2024-09-23,C00001,Customer 1,P045,Storage 1,Computer Accessories,Storage,1,2529.0,0.1369,2182.81,1446.05,736.76,East,Kolkata,UPI,Returning,0.33752823195788917,2024,9,Sep,2024-09
O016634,2025-04-01,C00001,Customer 1,P066,Mini Fans 2,Smart Gadgets,Mini Fans,2,1749.0,0.067,3263.47,2043.05,1220.43,South,Chennai,Net Banking,Returning,0.37396697380395716,2025,4,Apr,2025-04
O000038,2025-10-15,C00001,Customer 1,P020,Screen Protectors 4,Mobile Accessories,Screen Protectors,1,1968.0,0.3,1377.6,1217.33,160.27,North,Lucknow,Cash on Delivery,Returning,0.11634001161440187,2025,10,Oct,2025-10
O045687,2025-10-30,C00001,Customer 1,P060,Smart Lights 4,Smart Gadgets,Smart Lights,1,520.0,0.2867,370.93,272.15,98.79,West,Nagpur,Credit Card,Returning,0.2663305745019276,2025,10,Oct,2025-10
O012652,2025-11-27,C00001,Customer 1,P041,Laptop Stands 1,Computer Accessories,Laptop Stands,1,1423.0,0.1484,1211.76,724.19,487.57,West,Surat,Credit Card,Returning,0.4023651548161352,2025,11,Nov,2025-11
O006113,2025-12-05,C00002,Customer 2,P055,Smart Speakers 3,Smart Gadgets,Smart Speakers,1,2173.0,0.1034,1948.23,1098.09,850.14,North,Delhi,Debit Card,New,0.4363653162100984,2025,12,Dec,2025-12
O048636,2024-01-09,C00003,Customer 3,P048,Storage 4,Computer Accessories,Storage,1,1006.0,0.071,934.53,741.41,193.12,South,Coimbatore,Debit Card,New,0.20664933174964956,2024,1,Jan,2024-01
O048087,2025-04-29,C00003,Customer 3,P048,Storage 4,Computer Accessories,Storage,2,1006.0,0.3,1408.4,1482.81,-74.41,West,Nagpur,Cash on Delivery,Returning,-0.052833001988071567,2025,4,Apr,2025-04
O015829,2025-05-25,C00003,Customer 3,P008,Cables 4,Mobile Accessories,Cables,1,2400.0,0.042,2299.11,1354.6,944.51,South,Coimbatore,Net Banking,Returning,0.4108154894720131,2025,5,May,2025-05
O010221,2025-07-03,C00003,Customer 3,P033,Webcams 1,Computer Accessories,Webcams,1,1111.0,0.0702,1032.96,836.11,196.85,East,Ranchi,Net Banking,Returning,0.19056885068153653,2025,7,Jul,2025-07
O004448,2025-12-21,C00003,Customer 3,P058,Smart Lights 2,Smart Gadgets,Smart Lights,2,1791.0,0.1793,2939.83,2250.2,689.63,North,Jaipur,UPI,Returning,0.234581591452567,2025,12,Dec,2025-12
O009290,2024-03-06,C00004,Customer 4,P032,Mice 4,Computer Accessories,Mice,2,2908.0,0.3,4071.2,4470.0,-398.8,West,Pune,Debit Card,New,-0.09795637649832974,2024,3,Mar,2024-03
O030692,2024-09-19,C00004,Customer 4,P003,Chargers 3,Mobile Accessories,Chargers,1,2603.0,0.1742,2149.61,1417.01,732.6,North,Jaipur,Credit Card,Returning,0.3408060066709775,2024,9,Sep,2024-09
O020077,2025-08-09,C00004,Customer 4,P061,Trackers 1,Smart Gadgets,Trackers,4,2071.0,0.1244,7253.37,4233.3,3020.07,South,Coimbatore,Credit Card,Returning,0.41636784005227917,2025,8,Aug,2025-08
O030755,2025-09-12,C00004,Customer 4,P051,Smartwatches 3,Smart Gadgets,Smartwatches,1,759.0,0.0919,689.22,462.71,226.51,South,Hyderabad,Debit Card,Returning,0.32864687617886884,2025,9,Sep,2025-09
O035119,2024-03-21,C00005,Customer 5,P038,USB Hubs 2,Computer Accessories,USB Hubs,1,1531.0,0.2032,1219.89,1064.15,155.75,West,Nagpur,Cash on Delivery,New,0.12767544614678372,2024,3,Mar,2024-03
O026223,2024-03-24,C00005,Customer 5,P007,Cables 3,Mobile Accessories,Cables,1,2330.0,0.0739,2157.93,1159.15,998.77,East,Kolkata,UPI,Returning,0.46283707071128355,2024,3,Mar,2024-03
O019736,2024-09-23,C00005,Customer 5,P022,Audio 2,Mobile Accessories,Audio,1,1192.0,0.0943,1079.59,751.33,328.25,South,Chennai,Debit Card,Returning,0.3040506118063339,2024,9,Sep,2024-09
O016388,2025-02-23,C00005,Customer 5,P004,Chargers 4,Mobile Accessories,Chargers,1,2152.0,0.1297,1960.36,1296.71,663.65,North,Lucknow,UPI,Returning,0.3385347589218307,2025,2,Feb,2025-02
O040651,2025-12-24,C00005,Customer 5,P047,Storage 3,Computer Accessories,Storage,1,1284.0,0.2024,1024.16,684.41,339.74,South,Hyderabad,Credit Card,Returning,0.3317255116388064,2025,12,Dec,2025-12
O019286,2024-06-29,C00006,Customer 6,P008,Cables 4,Mobile Accessories,Cables,2,2400.0,0.0836,4398.63,2709.19,1689.43,North,Delhi,UPI,New,0.3840809524783853,2024,6,Jun,2024-06
O034653,2024-11-13,C00006,Customer 6,P040,USB Hubs 4,Computer Accessories,USB Hubs,1,2074.0,0.1698,1721.78,1164.91,556.88,West,Pune,UPI,Returning,0.3234327265968939,2024,11,Nov,2024-11
O024272,2024-02-12,C00007,Customer 7,P035,Webcams 3,Computer Accessories,Webcams,2,1514.0,0.1897,2453.6,1694.96,758.64,North,Jaipur,UPI,New,0.3091946527551353,2024,2,Feb,2024-02
O029415,2025-03-29,C00007,Customer 7,P051,Smartwatches 3,Smart Gadgets,Smartwatches,1,759.0,0.0285,737.37,462.71,274.66,West,Ahmedabad,UPI,Returning,0.37248599753176836,2025,3,Mar,2025-03
O042094,2025-04-06,C00007,Customer 7,P009,Power Banks 1,Mobile Accessories,Power Banks,1,558.0,0.0911,507.17,316.99,190.18,West,Surat,UPI,Returning,0.37498274740225174,2025,4,Apr,2025-04
O002223,2025-07-27,C00007,Customer 7,P033,Webcams 1,Computer Accessories,Webcams,1,1111.0,0.0306,1076.98,836.11,240.87,North,Amritsar,Cash on Delivery,Returning,0.22365317833200246,2025,7,Jul,2025-07
O023448,2025-12-15,C00007,Customer 7,P002,Chargers 2,Mobile Accessories,Chargers,3,1428.0,0.1082,3820.62,2617.59,1203.03,South,Kochi,Cash on Delivery,Returning,0.31487821348367545,2025,12,Dec,2025-12
O038094,2024-06-19,C00009,Customer 9,P035,Webcams 3,Computer Accessories,Webcams,1,1514.0,0.1089,1349.05,847.48,501.57,North,Jaipur,UPI,New,0.37179496682850893,2024,6,Jun,2024-06
O016323,2024-12-12,C00009,Customer 9,P014,Cases 2,Mobile Accessories,Cases,1,2503.0,0.1562,2111.92,1506.6,605.33,North,Lucknow,Credit Card,Returning,0.2866254403575893,2024,12,Dec,2024-12
O009409,2025-12-02,C00009,Customer 9,P045,Storage 1,Computer Accessories,Storage,1,2529.0,0.083,2318.97,1446.05,872.92,South,Bengaluru,UPI,Returning,0.37642574073834506,2025,12,Dec,2025-12
O045424,2025-12-22,C00009,Customer 9,P014,Cases 2,Mobile Accessories,Cases,1,2503.0,0.2567,1860.49,1506.6,353.9,South,Hyderabad,Debit Card,Returning,0.19021870582480957,2025,12,Dec,2025-12
O036847,2024-01-22,C00010,Customer 10,P009,Power Banks 1,Mobile Accessories,Power Banks,1,558.0,0.3,390.6,316.99,73.61,West,Pune,UPI,New,0.1884536610343062,2024,1,Jan,2024-01
O000203,2024-01-31,C00010,Customer 10,P045,Storage 1,Computer Accessories,Storage,2,2529.0,0.2853,3614.89,2892.1,722.8,West,Pune,Debit Card,Returning,0.19995075922088915,2024,1,Jan,2024-01
O017848,2024-10-11,C00010,Customer 10,P044,Laptop Stands 4,Computer Accessories,Laptop Stands,1,1074.0,0.2884,764.3,580.72,183.58,South,Hyderabad,Credit Card,Returning,0.24019364124035067,2024,10,Oct,2024-10
O020783,2024-11-19,C00010,Customer 10,P013,Cases 1,Mobile Accessories,Cases,1,2002.0,0.1975,1606.63,1359.95,246.68,South,Hyderabad,Cash on Delivery,Returning,0.15353877370645388,2024,11,Nov,2024-11
O022440,2024-11-29,C00010,Customer 10,P048,Storage 4,Computer Accessories,Storage,1,1006.0,0.1295,875.76,741.41,134.35,West,Nagpur,UPI,Returning,0.15340960993879602,2024,11,Nov,2024-11
O013138,2025-08-16,C00010,Customer 10,P035,Webcams 3,Computer Accessories,Webcams,1,1514.0,0.1534,1281.72,847.48,434.24,West,Ahmedabad,UPI,Returning,0.3387947445619948,2025,8,Aug,2025-08
O030105,2024-01-04,C00011,Customer 11,P043,Laptop Stands 3,Computer Accessories,Laptop Stands,3,2160.0,0.0982,5843.56,3996.43,1847.13,East,Patna,Net Banking,New,0.3160966944807617,2024,1,Jan,2024-01
O017020,2024-04-24,C00012,Customer 12,P032,Mice 4,Computer Accessories,Mice,1,2908.0,0.099,2620.03,2235.0,385.03,North,Chandigarh,UPI,New,0.1469563325610775,2024,4,Apr,2024-04
O021565,2024-07-26,C00012,Customer 12,P008,Cables 4,Mobile Accessories,Cables,1,2400.0,0.0565,2264.46,1354.6,909.87,East,Guwahati,UPI,Returning,0.4018044036988951,2024,7,Jul,2024-07
O017203,2024-08-04,C00012,Customer 12,P032,Mice 4,Computer Accessories,Mice,2,2908.0,0.1151,5146.56,4470.0,676.56,West,Surat,Debit Card,Returning,0.13145868308151462,2024,8,Aug,2024-08
O000051,2024-08-29,C00012,Customer 12,P027,Keyboards 3,Computer Accessories,Keyboards,2,1506.0,0.0225,2944.21,1718.21,1226.0,West,Surat,UPI,Returning,0.4164105141956586,2024,8,Aug,2024-08
O001538,2025-01-24,C00012,Customer 12,P011,Power Banks 3,Mobile Accessories,Power Banks,1,1237.0,0.035,1193.7,800.47,393.22,West,Ahmedabad,Debit Card,Returning,0.32941275027226274,2025,1,Jan,2025-01
O003229,2025-04-16,C00012,Customer 12,P055,Smart Speakers 3,Smart Gadgets,Smart Speakers,1,2173.0,0.154,1838.4,1098.09,740.31,West,Pune,UPI,Returning,0.40269255874673626,2025,4,Apr,2025-04
O017617,2025-08-22,C00012,Customer 12,P022,Audio 2,Mobile Accessories,Audio,1,1192.0,0.0155,1173.47,751.33,422.13,South,Chennai,Credit Card,Returning,0.35972798622887675,2025,8,Aug,2025-08
O009047,2025-10-26,C00012,Customer 12,P041,Laptop Stands 1,Computer Accessories,Laptop Stands,1,1423.0,0.217,1114.23,724.19,390.04,South,Coimbatore,Cash on Delivery,Returning,0.35005340010590275,2025,10,Oct,2025-10
O011216,2024-03-11,C00013,Customer 13,P058,Smart Lights 2,Smart Gadgets,Smart Lights,2,1791.0,0.0961,3237.79,2250.2,987.59,North,Jaipur,Cash on Delivery,New,0.30501978201180435,2024,3,Mar,2024-03
O044524,2024-04-01,C00013,Customer 13,P003,Chargers 3,Mobile Accessories,Chargers,1,2603.0,0.1333,2255.94,1417.01,838.93,North,Chandigarh,Credit Card,Returning,0.37187602507158873,2024,4,Apr,2024-04
O029787,2024-05-26,C00013,Customer 13,P007,Cables 3,Mobile Accessories,Cables,1,2330.0,0.17,1933.98,1159.15,774.82,East,Patna,UPI,Returning,0.4006349600306105,2024,5,May,2024-05
O041249,2025-07-09,C00013,Customer 13,P058,Smart Lights 2,Smart Gadgets,Smart Lights,1,1791.0,0.0172,1760.15,1125.1,635.05,North,Amritsar,Debit Card,Returning,0.3607931142232196,2025,7,Jul,2025-07
O017276,2025-09-23,C00013,Customer 13,P024,Audio 4,Mobile Accessories,Audio,3,2700.0,0.0797,7454.71,5580.06,1874.65,South,Chennai,Debit Card,Returning,0.25147188824246686,2025,9,Sep,2025-09
O006354,2024-02-15,C00014,Customer 14,P003,Chargers 3,Mobile Accessories,Chargers,1,2603.0,0.0403,2498.06,1417.01,1081.05,North,Chandigarh,UPI,New,0.43275581851516776,2024,2,Feb,2024-02
O049597,2024-04-24,C00014,Customer 14,P015,Cases 3,Mobile Accessories,Cases,1,1441.0,0.2253,1116.29,1043.58,72.71,North,Lucknow,UPI,Returning,0.06513540388250365,2024,4,Apr,2024-04
O022277,2024-04-25,C00014,Customer 14,P004,Chargers 4,Mobile Accessories,Chargers,1,2152.0,0.1512,1826.63,1296.71,529.93,West,Nagpur,Cash on Delivery,Returning,0.2901134876794972,2024,4,Apr,2024-04
O040577,2024-09-19,C00014,Customer 14,P048,Storage 4,Computer Accessories,Storage,2,1006.0,0.1371,1736.08,1482.81,253.27,East,Guwahati,Cash on Delivery,Returning,0.1458861342795263,2024,9,Sep,2024-09
O031981,2025-04-02,C00014,Customer 14,P060,Smart Lights 4,Smart Gadgets,Smart Lights,1,520.0,0.058,489.86,272.15,217.72,North,Chandigarh,UPI,Returning,0.4444535173314825,2025,4,Apr,2025-04
O005433,2025-09-07,C00014,Customer 14,P022,Audio 2,Mobile Accessories,Audio,1,1192.0,0.2916,844.46,751.33,93.13,East,Ranchi,UPI,Returning,0.11028349477772777,2025,9,Sep,2025-09
O046705,2025-11-12,C00014,Customer 14,P002,Chargers 2,Mobile Accessories,Chargers,1,1428.0,0.0962,1290.69,872.53,418.16,West,Surat,Credit Card,Returning,0.3239817461977702,2025,11,Nov,2025-11
O002491,2025-02-22,C00015,Customer 15,P017,Screen Protectors 1,Mobile Accessories,Screen Protectors,1,1752.0,0.0779,1615.55,852.9,762.65,East,Ranchi,Debit Card,New,0.47206833586085234,2025,2,Feb,2025-02
O022761,2025-02-22,C00015,Customer 15,P029,Mice 1,Computer Accessories,Mice,1,631.0,0.1987,505.65,371.37,134.28,North,Lucknow,Cash on Delivery,New,0.26555918125185407,2025,2,Feb,2025-02
O041687,2024-03-03,C00016,Customer 16,P048,Storage 4,Computer Accessories,Storage,1,1006.0,0.1131,892.17,741.41,150.77,West,Pune,UPI,New,0.16899245659459522,2024,3,Mar,2024-03
O003798,2024-09-07,C00016,Customer 16,P046,Storage 2,Computer Accessories,Storage,1,2452.0,0.0669,2287.88,1603.03,684.85,South,Bengaluru,UPI,Returning,0.2993382520062241,2024,9,Sep,2024-09
O001771,2024-02-12,C00017,Customer 17,P027,Keyboards 3,Computer Accessories,Keyboards,2,1506.0,0.2648,2214.32,1718.21,496.12,North,Jaipur,Net Banking,New,0.2240507243758806,2024,2,Feb,2024-02
O008247,2024-04-10,C00017,Customer 17,P039,USB Hubs 3,Computer Accessories,USB Hubs,3,834.0,0.228,1931.47,1538.25,393.22,South,Hyderabad,UPI,Returning,0.20358586982971522,2024,4,Apr,2024-04
O048969,2024-05-10,C00017,Customer 17,P022,Audio 2,Mobile Accessories,Audio,1,1192.0,0.0679,1111.12,751.33,359.78,North,Chandigarh,UPI,Returning,0.32379940960472314,2024,5,May,2024-05
O006635,2024-07-04,C00017,Customer 17,P023,Audio 3,Mobile Accessories,Audio,1,2917.0,0.2423,2210.08,1533.45,676.64,South,Coimbatore,Credit Card,Returning,0.30616086295518713,2024,7,Jul,2024-07
O008499,2024-08-08,C00017,Customer 17,P009,Power Banks 1,Mobile Accessories,Power Banks,1,558.0,0.0494,530.43,316.99,213.45,West,Nagpur,UPI,Returning,0.4024093659860868,2024,8,Aug,2024-08
O017703,2024-08-24,C00017,Customer 17,P026,Keyboards 2,Computer Accessories,Keyboards,1,744.0,0.2354,568.86,442.16,126.7,East,Patna,UPI,Returning,0.22272615406251098,2024,8,Aug,2024-08
O026213,2025-02-22,C00017,Customer 17,P032,Mice 4,Computer Accessories,Mice,2,2908.0,0.2095,4597.66,4470.0,127.66,West,Nagpur,Cash on Delivery,Returning,0.02776629850837165,2025,2,Feb,2025-02
O013348,2025-02-09,C00018,Customer 18,P025,Keyboards 1,Computer Accessories,Keyboards,2,2378.0,0.0623,4459.57,2919.46,1540.11,West,Ahmedabad,UPI,New,0.3453494395199537,2025,2,Feb,2025-02
